deep_id,bookseller_id,uncertain
136,0,false
137,0,false
138,1,false
139,1,false
145,2,false
151,3,false
157,4,false
157,5,false
159,5,false
160,6,false
162,7,false
166,7,false
171,8,false
171,3,false
174,7,false
175,7,false
181,9,false
182,9,false
188,10,true
188,11,true
194,7,false
208,7,false
209,7,false
211,12,false
211,13,false
228,14,false
229,14,false
230,14,false
231,14,false
246,14,false
247,15,false
248,16,false
254,17,false
326,18,false
340,16,false
368,19,false
381,20,false
382,21,false
382,22,false
422,23,false
423,23,false
424,23,false
438,24,false
438,25,false
442,26,false
443,26,false
462,27,true
463,28,true
468,26,false
469,26,false
486,29,false
501,26,false
502,26,false
507,30,false
525,31,false
526,31,false
531,32,false
578,33,false
579,34,false
580,35,false
581,35,false
582,36,false
585,37,false
606,38,false
634,39,false
643,16,false
644,29,false
650,40,false
651,40,false
687,40,false
762,41,false
763,42,false
769,43,false
769,44,false
770,43,false
770,44,false
779,45,false
793,46,false
801,47,false
802,47,false
803,47,false
849,48,false
850,48,false
858,32,false
859,23,false
861,49,false
882,50,false
884,51,false
885,51,false
896,52,false
896,53,false
897,54,false
897,55,false
900,56,false
901,56,false
904,57,false
906,56,false
907,56,false
908,56,false
909,32,false
927,58,false
952,32,false
958,59,false
959,59,false
960,59,false
961,59,false
962,60,false
999,25,false
1064,61,false
1145,58,false
1146,58,false
1146,62,false
1164,63,false
1177,64,false
1177,65,false
1177,66,false
1207,67,false
1207,68,false
5042,69,false
5043,70,false
5046,71,false
5046,72,false
5058,31,false
5068,73,false
5069,73,false
5075,74,false
5076,28,false
5090,75,false
5091,76,false
5092,76,false
5104.01,42,false
5105,67,false
5107,56,false
5108,56,false
5109,56,false
5110,56,false
5113,68,false
5114.03,47,false
5117,77,false
5118,56,false
5121,78,false
5123,78,false
5129,79,false
5135.02,57,false
5141,61,false
5141,80,false
5141,81,false
5141.02,61,false
5141.02,80,false
5141.02,81,false
5142,61,false
5142,80,false
5142,81,false
5148.07,18,false
5154,82,false
5174,65,false
5175,65,false
5182.03,83,false
